Organs,Category,Diseases,Basic,index,UID
Respiratory system,Lung Disease by Immunological Mechanisms,Eosinophilic pneumonia,,TBL-01-00-226,Jlvnlzw
Respiratory system,Lung Disease by Immunological Mechanisms,Drug-induced pneumonia,,TBL-01-00-227,Jlvnlz0
Respiratory system,Lung Diseases by Immunologic Mechanisms,Allergic bronchopulmonary aspergillosis <ABPA,,TBL-01-00-228,Jlvnlz8
Respiratory system,Abnormal respiration,Hyperventilation syndrome,,TBL-01-00-229,Jlvnl0A
Respiratory system,Abnormal respiration,Sleep apnea syndrome,●,TBL-01-00-230,Jlvnl0I
Respiratory system,Other Mechanisms of Lung Disease,Bronchiectasis,,TBL-01-00-231,Jlvnl0U
Respiratory system,Other Mechanisms of Lung Disease,Aerobic lung,,TBL-01-00-232,Jlvnl0c
Respiratory system,Impaired pulmonary circulation,Acute respiratory distress syndrome (ARDS),●,TBL-01-00-233,JlvnlzE
Respiratory system,Other Mechanisms of Lung Disease,Neonatal respiratory distress syndrome <IRDS,,TBL-01-00-234,Jlvnl0g
Respiratory system,Other Mechanisms of Lung Disease,Lung lymphangioleiomyomatosis <LAM,,TBL-01-00-235,Jlvnl0o
Respiratory system,Other Mechanisms of Lung Disease,Alveolar proteinosis,,TBL-01-00-236,Jlvnl0s
Respiratory system,"Pleura, mediastinal disease, diaphragm",Pleurisy,,TBL-01-00-237,Jlvnl08
Respiratory system,"Pleura, mediastinal disease, diaphragm","Pneumothorax (spontaneous, tension, traumatic)",●,TBL-01-00-238,Jlvnl1A
Respiratory system,"Pleura, mediastinal disease, diaphragm",Mediastinal emphysema,,TBL-01-00-239,Jlvnl1U
Respiratory system,"Pleura, mediastinal disease, diaphragm",Hemothorax,,TBL-01-00-240,Jlvnl1Y
Respiratory system,"Pleura, mediastinal disease, diaphragm",Mediastinitis,,TBL-01-00-241,Jlvnl1o
Respiratory system,"pleura, mediastinal disease, diaphragm",Thoracic deformity (funnel chest),,TBL-01-00-242,Jlvnl1s
Respiratory system,"pleura, mediastinal disease, diaphragm",Diaphragmatic nerve paralysis,,TBL-01-00-243,Jlvnl10
Respiratory system,"Pleura, mediastinal disease, diaphragm",Diaphragmatic hernia,,TBL-01-00-244,Jlvnl14
Digestive system,Esophageal Diseases,Esophageal and gastric varices,●,TBL-01-00-245,Jlvnl2E
Digestive system,Esophageal Disease,Gastroesophageal reflux disease (GERD),●,TBL-01-00-246,Jlvnl2M
Digestive system,Esophageal Disease,Reflux esophagitis,,TBL-01-00-247,Jlvnl2U
Digestive Organs,Esophageal Diseases,Mallory-Weiss syndrome,,TBL-01-00-248,Jlvnl2Y
Digestive Organs,Esophageal Diseases,Esophageal achalasia,,TBL-01-00-249,Jlvnl2g
Digestive Organs,Gastroduodenal Diseases,"Peptic ulcer（Gastric ulcer, duodenal ulcer)",●,TBL-01-00-250,Jlvnl2k
Digestive Organs,Gastroduodenal Diseases,Helicobacter pylori infection,,TBL-01-00-251,Jlvnl2s
Digestive Organs,Gastroduodenal Diseases,Acute gastric mucosal lesions,,TBL-01-00-252,Jlvnl24
Digestive Organs,Gastroduodenal disease,Chronic gastritis,,TBL-01-00-253,Jlvnl3E
Digestive Organs,Gastroduodenal disease,Functional gastrointestinal disorders (functional dyspepsia (FD)),●,TBL-01-00-254,Jlvnl3Q
Digestive Organs,Gastroduodenal Diseases,Gastric polyps,,TBL-01-00-255,Jlvnl2w
Digestive Organs,Gastroduodenal disease,Postgastrectomy syndrome,,TBL-01-00-256,Jlvnl3M
Digestive Organs,Gastroduodenal disease,Hypertrophic pyloric stenosis,,TBL-01-00-257,Jlvnl3Y
Digestive Organs,Gastroduodenal disease,Gastric anisakiasis,,TBL-01-00-258,Jlvnl3c
Digestive Organs,Small and large intestine disease,Diverticulitis of the colon,,TBL-01-00-259,Jlvnl38
Digestive Organs,Small and large intestine disease,Diverticular hemorrhage,,TBL-01-00-260,Jlvnl4E
Digestive Organs,Small and large intestine,Acute appendicitis,●,TBL-01-00-261,Jlvnl3k
Digestive Organs,Small and large intestine,Intestinal obstruction,●,TBL-01-00-262,Jlvnl3o
Digestive Organs,Small and large intestine,Intestinal polyposis,,TBL-01-00-263,Jlvnl4g
Digestive Organs,Small and large intestine,Hemorrhoids and fistulas,●,TBL-01-00-264,Jlvnl30
Digestive Organs,Small and large intestine,Constipation,●,TBL-01-00-265,Jlvnl4o
Digestive Organs,Small and large intestine,Functional gastrointestinal disorders (irritable bowel syndrome),●,TBL-01-00-266,Jlvnl34
Digestive Organs,Small and large intestine,Infectious enteritis,,TBL-01-00-267,Jlvnl4s
Digestive Organs,Small and large intestine,Ischemic colitis,,TBL-01-00-268,Jlvnl48
Digestive Organs,Small and large intestine disease,Ulcerative colitis,●,TBL-01-00-269,Jlvnl3s
Digestive Organs,Small and large intestine disease,Crohn's disease,●,TBL-01-00-270,Jlvnl3w
Digestive Organs,Small and large intestine,Infantile diarrhea,,TBL-01-00-271,Jlvnl40
Digestive Organs,Small and large intestine diseases,Cloacal anus,,TBL-01-00-272,Jlvnl4U
Digestive Organs,Small and large intestine,Hirschsprung's disease,,TBL-01-00-273,Jlvnl4c
Digestive Organs,Small and large intestine,Acute bleeding rectal ulcer,,TBL-01-00-274,Jlvnl5A
Digestive Organs,Small and large intestine diseases,Superior mesenteric artery occlusion,,TBL-01-00-275,Jlvnl5I
Digestive Organs,Small and large intestine,Gastrointestinal polyposis,,TBL-01-00-276,Jlvnl4Q
Digestive Organs,Gastroduodenal disease,Acute gastroenteritis,●,TBL-01-00-277,Jlvnl28
Digestive Organs,Small and large intestine,Drug-induced enteritis,,TBL-01-00-278,Jlvnl4I
Digestive Organs,Liver disease,Hepatitis A,●,TBL-01-00-279,Jlvnl50
Digestive Organs,Liver disease,Hepatitis B,●,TBL-01-00-280,Jlvnl54
Digestive Organs,Liver disease,Hepatitis C,●,TBL-01-00-281,Jlvnl6A
Digestive Organs,Liver disease,Acute hepatitis,●,TBL-01-00-282,Jlvnl6Q
Digestive Organs,Liver disease,Chronic hepatitis,●,TBL-01-00-283,Jlvnl6Y
Digestive Organs,Liver disease,Fulminant hepatitis,●,TBL-01-00-284,Jlvnl6g
Digestive Organs,Liver disease,Fatty liver,●,TBL-01-00-285,Jlvnl7c
Digestive Organs,Liver disease,Alcoholic liver injury,●,TBL-01-00-286,Jlvnl64
Digestive Organs,Liver disease,Drug-induced liver injury,,TBL-01-00-287,Jlvnl68
Digestive Organs,Liver disease,Liver abscess,,TBL-01-00-288,Jlvnl7E
Digestive Organs,Liver disease,Primary biliary cirrhosis <PBC,,TBL-01-00-289,Jlvnl7I
Digestive Organs,Liver disease,Primary sclerosing cholangitis,,TBL-01-00-290,Jlvnl7Q
Digestive Organs,Liver disease,Autoimmune hepatitis,,TBL-01-00-291,Jlvnl7Y
Digestive Organs,Liver disease,Portal hypertension,●,TBL-01-00-292,Jlvnl6k
Digestive Organs,Liver disease,Hepatic encephalopathy,●,TBL-01-00-293,Jlvnl6s
Digestive Organs,Liver disease,Liver cancer,●,TBL-01-00-294,Jlvnl6w
Digestive Organs,Biliary tract disease,Cholelithiasis,●,TBL-01-00-295,Jlvnl5M
Digestive Organs,Biliary tract disease,Cholecystitis,●,TBL-01-00-296,Jlvnl5U
Digestive Organs,Biliary tract disease,Cholangitis,●,TBL-01-00-297,Jlvnl5Y
Digestive Organs,Biliary tract disease,Gallbladder polyps,,TBL-01-00-298,Jlvnl5g
Digestive Organs,Biliary tract disease,Congenital dilatation of the biliary tract,,TBL-01-00-299,Jlvnl5k
Digestive Organs,Biliary tract disease,Pancreaticobiliary confluence disorder,,TBL-01-00-300,Jlvnl5s
Digestive Organs,Pancreatic disease,"Acute pancreatitis (alcoholic, cholelithiasis, idiopathic)",●,TBL-01-00-301,Jlvnl7k
Digestive Organs,Pancreatic disease,"Chronic pancreatitis (alcoholic, idiopathic)",●,TBL-01-00-302,Jlvnl7o
Digestive Organs,Pancreatic disease,Autoimmune pancreatitis,,TBL-01-00-303,Jlvnl7w
Digestive Organs,"Peritoneal, abdominal wall and diaphragm diseases",Peritonitis,●,TBL-01-00-304,Jlvnl70
Digestive Organs,"Peritoneal, abdominal wall and diaphragm diseases","Hernia (slipped, fitted, strangulated)",,TBL-01-00-305,Jlvnl78
Digestive Organs System,"Peritoneal, Abdominal Wall, and Diaphragm Diseases",Inguinal hernia,●,TBL-01-00-306,Jlvnl8E
Renal and Urinary System (including fluid and electrolyte balance),Impairment of renal function,Acute kidney injury (AKI),●,TBL-01-00-307,Jlvnl8Q
Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic kidney disease (CKD),●,TBL-01-00-308,Jlvnl8U
Renal and urinary system (including fluid and electrolyte balance),Impairment of renal function,Chronic renal failure,,TBL-01-00-309,Jlvnl8c
Renal and urinary tract system (including fluid and electrolyte balance),Electrolyte abnormalities,Hyper- and hyponatremia,●,TBL-01-00-310,Jlvnl8g
Renal and urinary tract system (including fluid and electrolyte balance),Electrolyte abnormalities,Hyperhypokalemia,●,TBL-01-00-311,Jlvnl8o
Renal and urinary tract system (including fluid and electrolyte balance),Abnormal electrolytes,Hyperhypocalcemia,●,TBL-01-00-312,Jlvnl8s
Renal and urinary tract system (including fluid and electrolyte balance),Abnormal electrolytes,Hyper- and hypophosphatemia,,TBL-01-00-313,Jlvnl80
Renal and urinary tract system (including fluid and electrolyte balance),electrolyte abnormalities,Hyper- and hypomagnesemia,,TBL-01-00-314,Jlvnl84
Renal and urinary tract system (including fluid and electrolyte balance),Acid-base imbalance,Acidosis (metabolic and respiratory),,TBL-01-00-315,Jlvnl9A
Renal and urinary tract system (including fluid and electrolyte balance),acid-base imbalance,Alkalosis (metabolic and respiratory),,TBL-01-00-316,Jlvnl9I
Renal and urinary tract system (including fluid and electrolyte balance),Primary Glomerular Disease,Acute glomerulonephritis,●,TBL-01-00-317,Jlvnl9M
Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,IgA nephropathy,●,TBL-01-00-318,Jlvnl9U
Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Membranous nephropathy,●,TBL-01-00-319,Jlvnl9Y
Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Focal segmental glomerulosclerosis,,TBL-01-00-320,Jlvnl9g
Renal and urinary tract system (including fluid and electrolyte balance),Primary glomerular disease,Microvariant group,●,TBL-01-00-321,Jlvnl9k
Renal and urinary tract system (including fluid and electrolyte balance),Primary Glomerular Disease,Membranous proliferative glomerulonephritis,,TBL-01-00-322,Jlvnl9s
Renal and urinary tract system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Nephrosclerosis,,TBL-01-00-323,Jlvnl90
Renal and urinary tract system (including fluid and electrolyte balance),Hypertension and renal vascular disease,Renal vascular hypertension,,TBL-01-00-324,Jlvnl94
Renal and urinary tract system (including fluid and electrolyte balance),Tubular and Interstitial Diseases,Tubular acidosis,,TBL-01-00-325,Jlvnl-A
Renal and urinary tract system (including fluid and electrolyte balance),Tubular and Interstitial Diseases,Tubulointerstitial nephritis (acute and chronic),,TBL-01-00-326,Jlvnl-E
Renal and urinary tract system (including fluid and electrolyte balance),Tubular and interstitial diseases,Acute pyelonephritis,●,TBL-01-00-327,Jlvnl-M
Renal and urinary tract system (including fluid and electrolyte balance),Renal disorders due to systemic diseases,Diabetic kidney disease,●,TBL-01-00-328,Jlvnl-Q
Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,IgA vasculitis,,TBL-01-00-329,Jlvnl-Y
Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Amyloid nephropathy,,TBL-01-00-330,Jlvnl-g
Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Anti-glomerular basement membrane disease <anti-GBM disease,,TBL-01-00-331,Jlvnl-w
Renal and urinary tract system (including fluid and electrolyte balance),Renal damage due to systemic diseases,Lupus nephritis,,TBL-01-00-332,Jlvnl-k
Renal and urinary tract system (including fluid and electrolyte balance),Renal disorders due to systemic diseases,Vasculitis Syndrome,,TBL-01-00-333,Jlvnl-s
Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Polycystic kidney disease,,TBL-01-00-334,Jlvnl-4
Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Vesicoureteral reflux,,TBL-01-00-335,Jlvnl-8
Renal and urinary tract system (including fluid and electrolyte balance),Congenital anomalies and trauma,Renal trauma,,TBL-01-00-336,Jlvnl_E
Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Urolithiasis,●,TBL-01-00-337,Jlvnl_I
Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Neurogenic bladder,,TBL-01-00-338,Jlvnl_g
Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Cystitis,●,TBL-01-00-339,Jlvnl_Q
Renal and urinary tract system (including fluid and electrolyte balance),Urinary Tract Diseases,Prostatitis,●,TBL-01-00-340,Jlvnl_U
Renal and urinary system (including fluid and electrolyte balance),Urinary Tract Diseases,Urethritis,●,TBL-01-00-341,Jlvnl_c
Reproductive system,Male Reproductive Organs Diseases,Male infertility,,TBL-01-00-342,Jlvnl_w
Reproductive system,Male Reproductive Organs Diseases,Prostatic hyperplasia,●,TBL-01-00-343,Jlvnl_0
Reproductive system,Male Reproductive Organs Diseases,Prostatitis,,TBL-01-00-344,Jlvnl_8
Reproductive system,Male Reproductive Organs Diseases,Undescended testicle,,TBL-01-00-345,JlvnmAA
Reproductive system,Male Reproductive Organs Diseases,Scrotal masses,,TBL-01-00-346,JlvnmAI
Reproductive system,Male Reproductive Organs Diseases,Testicular torsion,,TBL-01-00-347,JlvnmAQ
Reproductive system,Female Reproductive Organs Diseases,Functional dysmenorrhea,●,TBL-01-00-348,JlvnmAo
Reproductive system,Female Reproductive Organs Diseases,Congenital anomalies of internal and external genital organs,,TBL-01-00-349,JlvnmAU
Reproductive system,Female Reproductive Organs Diseases,Ovarian dysfunction,,TBL-01-00-350,JlvnmAc
Reproductive system,Female Reproductive Organs Diseases,Menopausal disorders,●,TBL-01-00-351,JlvnmA0
Reproductive system,Female Reproductive Organs Diseases,Infertility,,TBL-01-00-352,JlvnmA4
Reproductive system,Female Reproductive Organs Diseases,"Uterine fibroids, uterine adenomyosis",●,TBL-01-00-353,JlvnmBA
Reproductive system,Female Reproductive Organs Diseases,Endometriosis,●,TBL-01-00-354,JlvnmBE
Reproductive System,Female Reproductive Organs Diseases,Vulvovaginal and pelvic infections,,TBL-01-00-355,JlvnmBM
Pregnancy and Delivery,Abnormal Pregnancy,Hyperemesis gravidarum,,TBL-01-00-356,JlvnmBg
Pregnancy and Delivery,Abnormal Pregnancy,Ectopic pregnancy,●,TBL-01-00-357,JlvnmBk
Pregnancy and Delivery,Abnormal Pregnancy,Miscarriage/Impending miscarriage,●,TBL-01-00-358,JlvnmBs
Pregnancy and Delivery,Abnormal Pregnancy,High-risk pregnancy,,TBL-01-00-359,JlvnmBw
Pregnancy and Delivery,Abnormal Pregnancy,Gestational hypertension,●,TBL-01-00-360,JlvnmB4
Pregnancy and Delivery,Abnormal Pregnancy,Multiple pregnancies,,TBL-01-00-361,JlvnmCA
Pregnancy and Delivery,Abnormal Pregnancy,"Water breaking during the first trimester, early water breaking",,TBL-01-00-362,JlvnmCE
Pregnancy and Delivery,Abnormal Pregnancy,Impending premature delivery,●,TBL-01-00-363,JlvnmCM
Pregnancy and Delivery,Abnormal Pregnancy,Fetal dysfunction,,TBL-01-00-364,JlvnmCQ
Pregnancy and Delivery,Abnormal Delivery,Premature birth,●,TBL-01-00-365,JlvnmCY
Pregnancy and Delivery,Abnormal Delivery,Weak labor,,TBL-01-00-366,JlvnmCc
Pregnancy and Delivery,Abnormal Delivery,Delayed labor,,TBL-01-00-367,JlvnmCk
Pregnancy and Delivery,Abnormal Delivery,Abnormal rotation,,TBL-01-00-368,JlvnmCo
Pregnancy and Delivery,Abnormal delivery,Placenta previa,,TBL-01-00-369,JlvnmCw
Pregnancy and Delivery,Abnormal delivery,Adhered placenta,,TBL-01-00-370,JlvnmC4
Pregnancy and Delivery,Abnormal delivery,Premature abruption of the normal placenta,,TBL-01-00-371,JlvnmC8
Pregnancy and Delivery,Abnormal delivery,Labor and delivery trauma,,TBL-01-00-372,JlvnmDE
Pregnancy and Delivery,Abnormal Birthing,Insufficient uterine restoration,,TBL-01-00-373,JlvnmDI
Pregnancy and Delivery,Abnormal Decubitus,Postpartum fever,,TBL-01-00-374,JlvnmDQ
Pregnancy and Delivery,Abnormal Birthing Beds,mastitis,,TBL-01-00-375,JlvnmDU
Pregnancy and Delivery,Obstetric hemorrhage,Flaccid hemorrhage,,TBL-01-00-376,JlvnmDc
Pregnancy and Delivery,Obstetric hemorrhage,Amniotic fluid embolism,,TBL-01-00-377,JlvnmDg
Pregnancy and Delivery,Obstetric hemorrhage,Disseminated intravascular coagulation (DIC),,TBL-01-00-378,JlvnmDk
Pregnancy and Delivery,Complicated pregnancy,anemia,,TBL-01-00-379,JlvnmDo
Pregnancy and Delivery,Complicated pregnancy,glucose intolerance,,TBL-01-00-380,JlvnmDs
Pregnancy and Delivery,Complicated pregnancy,thyroid disease,,TBL-01-00-381,JlvnmD0
Pregnancy and Delivery,Complicated pregnancy,Immune thrombocytopenia (ITP),,TBL-01-00-382,JlvnmD8
Pregnancy and Delivery,Complicated Pregnancy,TORCH syndrome,,TBL-01-00-383,JlvnmEk
Pregnancy and Delivery,Complicated Pregnancy,Hepatitis B,,TBL-01-00-384,JlvnmEA
Pregnancy and Delivery,Complicated Pregnancy,Hepatitis C,,TBL-01-00-385,JlvnmEI
Pregnancy and Delivery,Complicated Pregnancy,HIV/AIDS,,TBL-01-00-386,JlvnmEM
Pregnancy and Delivery,Complicated Pregnancy,HTLV-I infection,,TBL-01-00-387,JlvnmEU
Pregnancy and Delivery,Complicated Pregnancy,Parvovirus B19 infection,,TBL-01-00-388,JlvnmEY
Pregnancy and Delivery,Complicated Pregnancy,Group B streptococcal infection,,TBL-01-00-389,JlvnmEg
Children,Hematologic,Acute leukemia,●,TBL-01-00-390,JlvnmEs
Child,Hematologic,Malignant lymphoma,,TBL-01-00-391,JnekjMI
Childhood,Hematologic,Vitamin K deficiency,,TBL-01-00-392,JlvnmE0
Childhood,Nervous system,Febrile convulsion,●,TBL-01-00-393,JlvnmE4
Childhood,Nervous System,Cerebral palsy,●,TBL-01-00-394,JlvnmFA
child,Nervous System,Hydrocephalus,,TBL-01-00-395,JlvnmFE
child,Dermal system,Impetigo contagiosa,,TBL-01-00-396,JlvnmFM
child,Dermal system,Staphylococcal burn-like skin syndrome <SSSSS,,TBL-01-00-397,JnekjMQ
child,Dermal system,Molluscum contagiosum,,TBL-01-00-398,JlvnmFQ
child,Dermal system,Measles,●,TBL-01-00-399,JlvnmFY
child,Dermal system,Rubella,●,TBL-01-00-400,JlvnmFg
child,dermal system,Varicella,●,TBL-01-00-401,JlvnmFk
child,dermal system,Erythema Infectiosum,,TBL-01-00-402,JlvnmFs
child,Dermal System,"Hand, foot and mouth disease",,TBL-01-00-403,JlvnmFw
child,Circulatory System,Atrial septal defect,,TBL-01-00-404,JlvnmF4
child,Cardiovascular System,Ventricular septal defect,,TBL-01-00-405,JlvnmF8
child,Cardiovascular System,Open ductus arteriosus,,TBL-01-00-406,JlvnmGE
child,Cardiovascular System,Tetralogy of Fallot,,TBL-01-00-407,JlvnmGM
child,Respiratory System,Croup syndrome,,TBL-01-00-408,JlvnmGQ
child,Respiratory system,Bronchiolitis,●,TBL-01-00-409,JlvnmGY
child,Respiratory system,Bronchial asthma (including cough asthma),●,TBL-01-00-410,JlvnmGc
child,Digestive System,Hypertrophic pyloric stenosis,,TBL-01-00-411,JlvnmGk
child,Digestive System,anal fistula,,TBL-01-00-412,JlvnmGo
child,Digestive system,Hirschsprung's disease,,TBL-01-00-413,JlvnmGs
child,Digestive Organs,Intestinal stacking,●,TBL-01-00-414,JlvnmGw
child,Digestive Organs,Constipation,,TBL-01-00-415,JlvnmG0
child,Digestive Organs,Infantile diarrhea,●,TBL-01-00-416,JlvnmG8
child,Digestive Organs,Biliary atresia,,TBL-01-00-417,JlvnmHE
child,Digestive Organs,Inguinal hernia,●,TBL-01-00-418,JlvnmHI
child,Kidney,Hemolytic-uremic syndrome <HUS,,TBL-01-00-419,JlvnmHQ
child,Kidney,Nephrotic syndrome,●,TBL-01-00-420,JlvnmHU
child,Kidney,Purpura nephritis,,TBL-01-00-421,JlvnmHc
child,Kidney,Congenital malformation of the renal urinary tract,,TBL-01-00-422,JlvnmHg
child,Kidney,Vesicoureteral reflux,,TBL-01-00-423,JlvnmHo
child,Endocrine System & Metabolism,Short stature with growth hormone deficiency,,TBL-01-00-424,JlvnmHw
child,Endocrine System & Metabolism,Congenital adrenal cortical hyperplasia,,TBL-01-00-425,JlvnmH0
child,Endocrine System & Metabolism,Acetoneemic emesis,,TBL-01-00-426,JlvnmH8
child,Mental system,Autism spectrum disorder <ASD,,TBL-01-00-427,JlvnmIA
child,Mental system,Attention/deficit hyperactivity disorder <ADHD,,TBL-01-00-428,JlvnmII
child,Mental system,Localized Learning Disorder,,TBL-01-00-429,JlvnmIM
child,Mental system,Tic disorders,,TBL-01-00-430,JlvnmIQ
child,Psyche System,Psychosomatic disorders,,TBL-01-00-431,JlvnmIU
child,Immunology & Allergy,IgA vasculitis,,TBL-01-00-432,JlvnmI4
child,Immunology/Allergy,Kawasaki disease,,TBL-01-00-433,JlvnmJA
child,Chromosome Aberrations,Down's disease,,TBL-01-00-434,JlvnmJE
child,Newborn,Neonatal pseudodeath,,TBL-01-00-435,JlvnmJM
child,Newborn,Neonatal respiratory distress syndrome (IRDS),,TBL-01-00-436,JlvnmJU
child,Newborn,Neonatal jaundice (hyperbilirubinemia),,TBL-01-00-437,JlvnmJY
child,Newborn,Premature low birth weight,,TBL-01-00-438,JlvnmJg
child,newborn,Fetal aspiration syndrome,,TBL-01-00-439,JlvnmJk
child,newborn,Neonatal transient hypercapnia,,TBL-01-00-440,JlvnmJs
child,Emergency,Sudden infant death syndrome (SIDS),,TBL-01-00-441,JlvnmJw
child,Emergency,Abused child syndrome,,TBL-01-00-442,JlvnmJ4
Breast,None,"Benign breast disease (mastitis, mastopathy)",,TBL-01-00-443,JlvnmJ8
"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Acromegaly,,TBL-01-00-444,JlvnmKI
"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Cushing's disease,,TBL-01-00-445,JlvnmKQ
"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Hyperprolactinemia,,TBL-01-00-446,JlvnmKY
"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Hypopituitarism,,TBL-01-00-447,JlvnmKk
"Endocrine, Nutritional and Metabolic Systems",Interventricular and Pituitary Diseases,Central enuresis,,TBL-01-00-448,JlvnmKo
"Endocrinology, Nutrition and Metabolism",Interventricular and Pituitary Diseases,Syndrome of inappropriate antidiuretic hormone secretion (SIADH),,TBL-01-00-449,JlvnmKw
